NOMBPROV,;casos confirmados
ABANCAY;739
ACOBAMBA;509
ACOMAYO;67
AIJA;65
ALTO AMAZONAS;2598
AMBO;184
ANDAHUAYLAS;385
ANGARAES;266
ANTA;633
ANTABAMBA;71
ANTONIO RAYMONDI;65
AREQUIPA;33934
ASCOPE;1052
ASUNCION;8
ATALAYA;1617
AYABACA;798
AYMARAES;98
AZANGARO;64
BAGUA;270
BARRANCA;2245
BELLAVISTA;1101
BOLIVAR;18
BOLOGNESI;140
BONGARA;15
CAJABAMBA;257
CAJAMARCA;3488
CAJATAMBO;21
CALCA;364
CALLAO;20062
CAMANA;366
CANAS;140
CANCHIS;701
CANDARAVE;5
CANGALLO;115
CANTA;243
CAÑETE;5325
CARABAYA;64
CARAVELI;303
CARHUAZ;147
CARLOS FERMIN FITZCARRALD;14
CASMA;968
CASTILLA;181
CASTROVIRREYNA;119
CAYLLOMA;637
CELENDIN;201
CHACHAPOYAS;25
CHANCHAMAYO;1474
CHEPEN;2154
CHICLAYO;10926
CHINCHA;4548
CHINCHEROS;143
CHOTA;470
CHUCUITO;159
CHUMBIVILCAS;251
CHUPACA;548
CHURCAMPA;126
CONCEPCION;168
CONDESUYOS;102
CONTRALMIRANTE VILLAR;218
CONTUMAZA;87
CORONEL PORTILLO;15165
CORONGO;40
COTABAMBAS;101
CUSCO;4377
CUTERVO;308
DANIEL ALCIDES CARRION;139
DATEM DEL MARAÑON;2277
DOS DE MAYO;144
EL COLLAO;96
EL DORADO;624
ESPINAR;116
FERREÑAFE;1535
GENERAL SANCHEZ CERRO;316
GRAN CHIMU;203
GRAU;81
HUACAYBAMBA;9
HUALGAYOC;314
HUALLAGA;504
HUAMALIES;256
HUAMANGA;3231
HUANCA SANCOS;19
HUANCABAMBA;1025
HUANCANE;42
HUANCAVELICA;922
HUANCAYO;6272
HUANTA;205
HUANUCO;5303
HUARAL;2756
HUARAZ;3482
HUARI;175
HUARMEY;473
HUAROCHIRI;349
HUAURA;3234
HUAYLAS;593
HUAYTARA;190
ICA;5881
ILO;1758
ISLAY;690
JAEN;3917
JAUJA;284
JORGE BASADRE;36
JULCAN;59
JUNIN;193
LA CONVENCION;1319
LA MAR;129
LA UNION;23
LAMAS;929
LAMBAYEQUE;3422
LAMPA;38
LAURICOCHA;38
LEONCIO PRADO;2263
LIMA;262
LORETO;3331
LUCANAS;225
LUYA;7
MANU;92
MARAÑON;54
MARISCAL CACERES;1042
MARISCAL LUZURIAGA;51
MARISCAL NIETO;2251
MARISCAL RAMON CASTILLA;1837
MAYNAS;18149
MELGAR;83
MOHO;7
MORROPON;3160
MOYOBAMBA;1640
NAZCA;1651
OCROS;63
OTUZCO;425
OXAPAMPA;799
OYON;167
PACASMAYO;1215
PACHITEA;160
PADRE ABAD;1135
PAITA;2767
PALLASCA;41
PALPA;778
PARINACOCHAS;176
PARURO;23
PASCO;1872
PATAZ;926
PAUCAR DEL SARA SARA;10
PAUCARTAMBO;27
PICOTA;457
PISCO;4832
PIURA;14682
POMABAMBA;129
PUERTO INCA;636
PUNO;516
PUIRA;3
PURUS;11
QUISPICANCHI;216
RECUAY;105
REQUENA;647
RIOJA;935
RODRIGUEZ DE MENDOZA;17
SAN ANTONIO DE PUTINA;18
SAN IGNACIO;451
SAN MARCOS;101
SAN MARTIN;5373
SAN MIGUEL;189
SAN PABLO;54
SAN ROMAN;1538
SANCHEZ CARRION;620
SANDIA;67
SANTA;12983
SANTA CRUZ;124
SANTIAGO DE CHUCO;321
SATIPO;891
SECHURA;1181
SIHUAS;89
SUCRE;17
SULLANA;6991
TACNA;2367
TAHUAMANU;553
TALARA;3082
TAMBOPATA;3801
TARATA;3
TARMA;399
TAYACAJA;332
TOCACHE;1047
TRUJILLO;14314
TUMBES;4445
UCAYALI;831
URUBAMBA;116
UTCUBAMBA;65
VICTOR FAJARDO;72
VICTOR FAFARDO;3
VILCAS HUAMAN;18
VIRU;1187
YAROWILCA;40
YAULI;519
YAUYOS;87
YUNGAY;131
YUNGUYO;41
ZARUMILLA;1022
CONDORCANQUI;248
